"id_config","id_variable","tipo_variable","clave","valor","descripcion","tipo_valor","items","dependent_clave","dependent_valor","editable","co_operation","da_update"
59,20,"P","showProductImages","true","<p align=""justify""><b>¿Desea cargar imágenes en su catálogo de productos? </b><br> SI: Contactar al soporte para indicar la ruta y el formato de las imágenes <br> NO: No se muestran imágenes de los productos</p>","selectBoolean","","","",True,"I","2025-10-13 09:35:54.40756"
60,21,"P","groupByTotalByLines","false","<p align=""justify""><b>¿Visualiza el cierre de pedido por estructura de productos? </b><br> SI: En la pestaña ""Total"" se visualizarán los productos por estructura <br> NO: Solo se visualizarán los productos seleccionados sin estructura</p>","selectBoolean","","","",False,"I","2025-10-13 09:35:54.40756"
61,22,"P","nameProductLine","DESTACADOS","<p align=""justify""><b>¿Desea utilizar una línea de producto destacado para indicar los productos limitados por la cantidad mínima de venta y su múltiplo </b><br> SI: Colocar el nombre de la estructura de destacados y generar el archivo ""PRODUCT_MIN_MUL_FAV"" <BR> NO: Dejar el campo vacío</p>","text","","","",True,"I","2025-10-13 09:35:54.40756"
62,23,"P","userCanSelectChannel","false","<p align=""justify""><b>¿Desea que el usuario seleccione el Canal de distribución para filtrar los clientes?</b><br> SI: Se mostrará un selector de Canal de Distribución<BR> NO: No se mostrará selector de Canal de Distribución</p>","selectBoolean","","","",True,"I","2025-10-13 09:35:54.40756"
63,24,"P","userCanChangePaymentConditions","false","<p align=""justify""><b>¿Pueden los vendedores cambiar la condición de pago del cliente en el pedido? </b><br> SI: El usuario puede cambiar las condiciones de pago <br> NO: No se puede cambiar las condiciones de pago</p>","selectBoolean","","","",True,"I","2026-04-28 19:08:16.699813"
64,25,"P","showCreditLimit","false","<p align=""justify""><b>¿Se desea mostrar el límite de crédito del cliente al momento de realizar un pedido? </b><br> SI: Se mostrará el límite de crédito del cliente <br> NO: Se oculta el límite de crédito del cliente</p>","selectBoolean","","","",True,"I","2026-04-28 19:08:16.699813"
65,26,"P","selectOrderType","true","<p align=""justify""><b>¿Desea cambiar el tipo de los pedidos? </b><br> SI: Se habilita el campo ""tipo de pedidos"" mostrando el listado crearo deade la web <br> NO: No se habilita el campo ""tipo de pedidos""</p>","selectBoolean","","","",True,"I","2026-05-12 15:23:34.618078"
66,27,"P","orderTypeByEnterprise","false","<p align=""""justify""""><b>¿Desea seleccionar el tipo de pedido por defecto de acuerdo a la empresa?</b><br> SI: Se carga el pedido por defecto según la empresa seleccionada<BR> NO: El pedido por defecto no depende de la empresa</p>","selectBoolean","","selectOrderType","true",True,"I","2025-10-13 09:35:54.40756"
67,28,"P","quUnitDecimals","false","<p align=""justify""><b>¿Desea que los vendedores usen formato decimal para las cantidades de productos en la toma pedidos? </b><br> SI: El usuario podrá ingresar cantidad con decimales al cargar productos <br> NO: no se podrá ingresar cantidad con decimales en los productos</p>","selectBoolean","","","",True,"I","2025-10-13 09:35:54.40756"
68,29,"P","orderPedidoSeleccion","false","<p align=""justify""><b>¿Desea que se mantenga el orden  de los productos seleccionados  por  el vendedor en el módulo de pedido?</p>","selectBoolean","","","",False,"I","2025-10-13 09:35:54.40756"
